# Header: 
#   Title                 : 90-TH-232 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : R.L.Macklin 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,NSE,64,849,197712) 
#   Year                  : 1977 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 90 
#   A                     : 232 
#   Nuclide               : 90-TH-232 
# Reaction: 
#   entry-subent-pointer  :['10554-005-4'] 
#   EXFOR reaction        :['(90-TH-232(N,G),,WID)'] 
#   incident energy       : 2.6047e+03 eV - 3.9972e+03 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/105/10554.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10554
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 3.5451E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.5522E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.5684E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.5761E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.5956E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6125E+03        NAN        NAN        NAN        NAN        NAN 2.6700E-02        NAN        NAN        NAN        NAN        NAN
 3.6181E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6257E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6399E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6520E+03        NAN        NAN        NAN        NAN        NAN 2.9700E-02        NAN        NAN        NAN        NAN        NAN
 3.6665E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6753E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6939E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.7092E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.7166E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.7237E+03        NAN        NAN        NAN        NAN        NAN 2.7900E-02        NAN        NAN        NAN        NAN        NAN
 3.7343E+03        NAN        NAN        NAN        NAN        NAN 2.6300E-02        NAN        NAN        NAN        NAN        NAN
 3.7604E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.7790E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.7878E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.8124E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.8215E+03        NAN        NAN        NAN        NAN        NAN 2.6200E-02        NAN        NAN        NAN        NAN        NAN
 3.8278E+03        NAN        NAN        NAN        NAN        NAN 2.5300E-02        NAN        NAN        NAN        NAN        NAN
 3.8360E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.8499E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.8610E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.8699E+03        NAN        NAN        NAN        NAN        NAN 2.6900E-02        NAN        NAN        NAN        NAN        NAN
 3.8856E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.9076E+03        NAN        NAN        NAN        NAN        NAN 4.5700E-02        NAN        NAN        NAN        NAN        NAN
 3.9170E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.9252E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.9333E+03        NAN        NAN        NAN        NAN        NAN 2.9700E-02        NAN        NAN        NAN        NAN        NAN
 3.9535E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.9627E+03        NAN        NAN        NAN        NAN        NAN 3.1300E-02        NAN        NAN        NAN        NAN        NAN
 3.9716E+03        NAN        NAN        NAN        NAN        NAN 2.7600E-02        NAN        NAN        NAN        NAN        NAN
 3.9781E+03        NAN        NAN        NAN        NAN        NAN 3.3700E-02        NAN        NAN        NAN        NAN        NAN
 3.9972E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
