# Header: 
#   title: 47-AG-109(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 47 
#   A: 109 
#   Nuclide: 47-AG-109 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 1.13190E+01  |   2.46967E+01  (N = 24)
#   Maxwellian Average Weighted Mean +/- Weighted Error      : 3.98306E+00 +/-  1.47176E-02  (N = 24)
#   MXW Simple Mean           |  Simple Stdev        : 3.19055E+01  |   3.99349E+01  (N = 11)
#   MXW Weighted Mean        +/- Weighted Error      : 4.21816E+00 +/-  7.60340E-02  (N = 11)
#   SPA Simple Mean           |  Simple Stdev        : 2.28400E+01  |   4.44348E+01   (N = 6)
#   SPA Weighted Mean        +/- Weighted Error      : 4.13070E+00 +/-  7.71713E-02   (N = 6)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
22639-002-0         S.Nakamura              2001   2.5300E-08   0.0000E+00   4.1300E+00   8.0000E-02     MXW        
11447-068-0         L.Seren                 1947   2.5300E-08   0.0000E+00   2.3000E+00   4.6000E-01     SPA        
20041-004-0         B.Grimeland             1956   2.5300E-08   0.0000E+00   5.6000E+00   1.4000E+00     SPA        
31237-002-0         M.L.Sehgal              1957   2.5300E-08   0.0000E+00   1.1350E+02   1.3000E+01     SPA        
11625-018-0         W.S.Lyon                1960   2.5300E-08   0.0000E+00   5.7800E+00   5.7800E-01     SPA        
11658-008-0         G.H.E.Sims              1968   2.5300E-08   0.0000E+00   5.7500E+00   5.4000E-01     SPA        
12866-092-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   4.1100E+00   8.0000E-02     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
23533-011-0         L.Salamon               2020   2.5300E-08   0.0000E+00   9.0210E+01   0.0000E+00           DERIV
V1001-468-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   9.1000E+01   1.0000E+00           RECOM
V1001-468-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   8.7100E+01   3.0000E+00           RECOM
V1001-468-3         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   3.9500E+00   5.0000E-02           RECOM
