# Header: 
#   Title                 : 94-PU-239 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : H.Derrien 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : (T,DERRIEN,7311) 
#   Year                  : 1973 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 94 
#   A                     : 239 
#   Nuclide               : 94-PU-239 
# Reaction: 
#   entry-subent-pointer  :['20445-005-3' '20445-005-4'] 
#   EXFOR reaction        :['(94-PU-239(N,TOT),,WID)' '(94-PU-239(N,G),,WID)'] 
#   incident energy       : 7.8200e+00 eV - 6.5829e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/204/20445.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20445
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 1.4821E+02        NAN        NAN        0.0 1.5000E-01        NAN 4.7000E-02        NAN        NAN        NAN        NAN        NAN
 1.4942E+02        NAN        NAN        0.0 1.2000E-01 2.0000E-02 6.7000E-02 2.1000E-02        NAN        NAN        NAN        NAN
 1.5708E+02        NAN        0.0        0.0 6.7000E-01 5.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 1.6080E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.6196E+02        NAN        NAN        0.0 1.5000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.6454E+02        NAN        1.0        0.0 7.9000E-02 1.0000E-02 4.3000E-02 8.0000E-03        NAN        NAN        NAN        NAN
 1.6710E+02        NAN        1.0        0.0 1.1200E-01 8.0000E-03 3.7000E-02 6.0000E-03        NAN        NAN        NAN        NAN
 1.7049E+02        NAN        NAN        0.0 1.5800E-01 6.0000E-02 3.8000E-02        NAN        NAN        NAN        NAN        NAN
 1.7108E+02        NAN        0.0        0.0 1.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.7456E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.7598E+02        NAN        NAN        0.0 7.3000E-02 5.0000E-03 4.0000E-02 8.0000E-03        NAN        NAN        NAN        NAN
 1.7722E+02        NAN        NAN        0.0 5.1000E-02 6.0000E-03 4.2000E-02 6.0000E-03        NAN        NAN        NAN        NAN
 1.7890E+02        NAN        0.0        0.0 5.8000E-02 9.0000E-03 4.3000E-02 7.0000E-03        NAN        NAN        NAN        NAN
 1.8364E+02        NAN        NAN        0.0 7.2000E-02        NAN 4.2000E-02        NAN        NAN        NAN        NAN        NAN
 1.8487E+02        NAN        NAN        0.0 2.2000E+00 2.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN
 1.8827E+02        NAN        NAN        0.0 5.3000E-02 1.0000E-02 4.3000E-02        NAN        NAN        NAN        NAN        NAN
 1.9064E+02        NAN        NAN        0.0 6.7000E-02 9.0000E-03 4.9000E-02 1.1000E-02        NAN        NAN        NAN        NAN
 1.9536E+02        NAN        1.0        0.0 4.4700E-01 4.0000E-02 5.2000E-02 1.2000E-02        NAN        NAN        NAN        NAN
 1.9669E+02        NAN        1.0        0.0 1.1200E-01 1.8000E-02 5.3000E-02 1.1000E-02        NAN        NAN        NAN        NAN
 1.9939E+02        NAN        NAN        0.0 1.3300E-01 1.3000E-02 4.3000E-02 8.0000E-03        NAN        NAN        NAN        NAN
 2.0346E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.0393E+02        NAN        NAN        0.0 4.3000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.0737E+02        NAN        0.0        0.0 5.7000E-02 5.0000E-03 4.4000E-02 5.0000E-03        NAN        NAN        NAN        NAN
 2.1109E+02        NAN        0.0        0.0 8.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.1202E+02        NAN        0.0        0.0 1.5000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.1328E+02        NAN        NAN        0.0 2.0000E-01 6.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 2.1653E+02        NAN        NAN        0.0 6.7000E-02 7.0000E-03 5.0000E-02 8.0000E-03        NAN        NAN        NAN        NAN
 2.1949E+02        NAN        NAN        0.0 7.0000E-02 1.0000E-02 4.1000E-02 1.3000E-02        NAN        NAN        NAN        NAN
 2.2022E+02        NAN        NAN        0.0 5.2000E-02 8.0000E-03 3.4000E-02 6.0000E-03        NAN        NAN        NAN        NAN
 2.2316E+02        NAN        NAN        0.0 5.9000E-02 6.0000E-03 4.7000E-02        NAN        NAN        NAN        NAN        NAN
 2.2489E+02        NAN        NAN        0.0 8.5000E-03 1.7000E-02 5.8000E-02        NAN        NAN        NAN        NAN        NAN
 2.2777E+02        NAN        NAN        0.0 9.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2789E+02        NAN        NAN        0.0 6.7000E-02 1.0000E-02 3.3000E-02 1.2000E-02        NAN        NAN        NAN        NAN
 2.3140E+02        NAN        0.0        0.0 5.4000E-02 8.0000E-03 3.7000E-02 8.0000E-03        NAN        NAN        NAN        NAN
 2.3263E+02        NAN        NAN        0.0 1.3000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.3432E+02        NAN        0.0        0.0 7.4000E-02 9.0000E-03 4.9000E-02 6.0000E-03        NAN        NAN        NAN        NAN
 2.3904E+02        NAN        0.0        0.0 7.3000E-02 8.0000E-03 5.1000E-02 8.0000E-03        NAN        NAN        NAN        NAN
 2.4060E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.4288E+02        NAN        NAN        0.0 9.7000E-02 6.0000E-03 3.4000E-02 7.0000E-03        NAN        NAN        NAN        NAN
 2.4750E+02        NAN        NAN        0.0 3.1200E-01 6.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 2.4886E+02        NAN        0.0        0.0 6.2000E-02 6.0000E-03 4.2000E-02 6.0000E-03        NAN        NAN        NAN        NAN
 2.5123E+02        NAN        0.0        0.0 8.3000E-02 5.0000E-03 4.3000E-02 7.0000E-03        NAN        NAN        NAN        NAN
 2.5458E+02        NAN        NAN        0.0 5.5000E-02 5.0000E-03 2.7000E-02 1.0000E-02        NAN        NAN        NAN        NAN
 2.5611E+02        NAN        NAN        0.0 9.1000E-02 1.6000E-02 5.3000E-02 1.2000E-02        NAN        NAN        NAN        NAN
 2.5900E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6237E+02        NAN        NAN        0.0 6.3000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6274E+02        NAN        NAN        0.0 6.0000E-02 1.0000E-02 4.6000E-02        NAN        NAN        NAN        NAN        NAN
 2.6423E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6911E+02        NAN        NAN        0.0 1.4000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6954E+02        NAN        1.0        0.0 7.2000E-02 2.0000E-02 4.0000E-02 1.7000E-02        NAN        NAN        NAN        NAN
 2.7262E+02        NAN        0.0        0.0 9.2000E-02 1.0000E-02 3.3000E-02 6.0000E-03        NAN        NAN        NAN        NAN
 2.7480E+02        NAN        NAN        0.0 8.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.7557E+02        NAN        1.0        0.0 1.5000E-01 3.0000E-02 5.4000E-02 2.0000E-02        NAN        NAN        NAN        NAN
 2.7723E+02        NAN        0.0        0.0 5.3000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.7959E+02        NAN        NAN        0.0 1.1100E-01 8.0000E-03 3.4000E-02 7.0000E-03        NAN        NAN        NAN        NAN
 2.8292E+02        NAN        NAN        0.0 8.5000E-02 6.0000E-03 4.9000E-02 1.0000E-02        NAN        NAN        NAN        NAN
 2.8573E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.8800E+02        NAN        1.0        0.0 7.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.8830E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.9233E+02        NAN        0.0        0.0 1.1500E-01 1.3000E-02 3.1000E-02 1.0000E-02        NAN        NAN        NAN        NAN
 2.9646E+02        NAN        1.0        0.0 8.1000E-02 1.2000E-02 4.8000E-02 1.1000E-02        NAN        NAN        NAN        NAN
 2.9859E+02        NAN        0.0        0.0 7.4000E-02 7.0000E-03 4.3000E-02 7.0000E-03        NAN        NAN        NAN        NAN
 3.0181E+02        NAN        NAN        0.0 1.0800E-01 6.0000E-03 4.2000E-02 9.0000E-03        NAN        NAN        NAN        NAN
 3.0820E+02        NAN        NAN        0.0 1.5000E-01 3.0000E-02 4.8000E-02        NAN        NAN        NAN        NAN        NAN
 3.0901E+02        NAN        1.0        0.0 8.5000E-02 1.2000E-02 4.7000E-02 8.0000E-03        NAN        NAN        NAN        NAN
 3.1112E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1362E+02        NAN        0.0        0.0 6.2000E-02 6.0000E-03 3.8000E-02 5.0000E-03        NAN        NAN        NAN        NAN
 3.1666E+02        NAN        1.0        0.0 7.3000E-02 1.0000E-02 4.3000E-02 9.0000E-03        NAN        NAN        NAN        NAN
 3.2175E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.2336E+02        NAN        NAN        0.0 1.6000E-01 2.0000E-02 5.3000E-02 8.0000E-03        NAN        NAN        NAN        NAN
 3.2530E+02        NAN        NAN        0.0 1.0500E-01 9.0000E-03 5.0000E-02 1.0000E-02        NAN        NAN        NAN        NAN
 3.2965E+02        NAN        NAN        0.0 2.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.3391E+02        NAN        0.0        0.0 6.7000E-02 7.0000E-03 5.2000E-02 9.0000E-03        NAN        NAN        NAN        NAN
 3.3593E+02        NAN        1.0        0.0 8.3000E-02 6.0000E-03 4.7000E-02 6.0000E-03        NAN        NAN        NAN        NAN
 3.3795E+02        NAN        NAN        0.0 7.4000E-02 7.0000E-03 5.5000E-02 8.0000E-03        NAN        NAN        NAN        NAN
 3.3924E+02        NAN        NAN        0.0 8.1000E-02 1.2000E-02 3.7000E-02 1.2000E-02        NAN        NAN        NAN        NAN
 3.4318E+02        NAN        NAN        0.0 7.5000E-02 6.0000E-03 4.1000E-02 5.0000E-03        NAN        NAN        NAN        NAN
 3.4656E+02        NAN        NAN        0.0 1.2000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.5030E+02        NAN        NAN        0.0 9.7000E-02 6.0000E-03 4.1000E-02 5.0000E-03        NAN        NAN        NAN        NAN
 3.5282E+02        NAN        0.0        0.0 6.9000E-02 1.3000E-02 4.7000E-02 1.0000E-02        NAN        NAN        NAN        NAN
 3.5489E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.5787E+02        NAN        NAN        0.0 6.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
