# Header: 
#   Title                 : 72-HF-177 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : G.Rohr 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (J,NP/A,264,93,7606) 
#   Year                  : 1976 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 72 
#   A                     : 177 
#   Nuclide               : 72-HF-177 
# Reaction: 
#   entry-subent-pointer  :['21297-002-2' '21297-002-3'] 
#   EXFOR reaction        :['(72-HF-177(N,EL),,WID)' '(72-HF-177(N,G),,WID)'] 
#   incident energy       : 1.0950e-05 eV - 2.9974e-04 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/212/21297.x4 
#   nds                   : https://nds.iaea.org/EXFOR/21297
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 1.4318E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 4.9700E-03 4.9000E-04        NAN        NAN
 1.4381E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.0050E-02 8.1000E-04        NAN        NAN
 1.4562E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 7.0300E-03 5.1000E-04        NAN        NAN
 1.4859E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 2.1350E-02 1.3400E-03        NAN        NAN
 1.5100E-04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.5285E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.8900E-03 1.2000E-04        NAN        NAN
 1.5608E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 3.1900E-03 3.0000E-04        NAN        NAN
 1.6008E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 3.4000E-03 2.9000E-04        NAN        NAN
 1.6305E-04        NAN        3.0        0.0        NAN        NAN 5.8200E-02 1.0800E-02 4.4900E-02 6.5900E-03        NAN        NAN
 1.6738E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 8.2800E-03 5.9000E-04        NAN        NAN
 1.7113E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 1.2470E-02 9.7000E-04        NAN        NAN
 1.7437E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.1760E-02 8.1000E-04        NAN        NAN
 1.7615E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 5.7810E-02 6.6000E-03        NAN        NAN
 1.7692E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 4.1460E-02 4.5600E-03        NAN        NAN
 1.8113E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 4.8300E-03 4.8000E-04        NAN        NAN
 1.8470E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.3600E-03 3.5000E-04        NAN        NAN
 1.9275E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 6.7200E-03 5.7000E-04        NAN        NAN
 1.9418E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 8.4200E-03 8.4000E-04        NAN        NAN
 1.9922E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 2.0660E-02 1.4600E-03        NAN        NAN
 2.0190E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 1.8410E-02 1.7800E-03        NAN        NAN
 2.0870E-04        NAN        4.0        0.0        NAN        NAN 4.8800E-02 1.2500E-02 4.5800E-02 1.0800E-02        NAN        NAN
 2.1014E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 4.5300E-03 6.1000E-04        NAN        NAN
 2.1216E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 2.1600E-03 6.2000E-04        NAN        NAN
 2.1718E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 6.1300E-03 6.3000E-04        NAN        NAN
 2.1969E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 1.1420E-02 1.0700E-03        NAN        NAN
 2.2240E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 3.7700E-03 6.1000E-04        NAN        NAN
 2.2337E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 6.3000E-03 6.0000E-04        NAN        NAN
 2.2474E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 8.3870E-02 1.2350E-02        NAN        NAN
